Ticker,symbol,Market Cap,Trailing P/E,P/B Ratio,Trailing EPS,Forward P/E,Forward EPS,Dividend Yield %,Beta,Trailing P/E Graham Status,P/B Ratio Graham Status,Combined P/E x P/B Graham Status,Trailing P/E Sector Status,Forward P/E Sector Status,P/B Ratio Sector Status
AGR,AGR,13811592192.0,17.591133,0.70295274,2.03,14.817427,2.41,4.93,0.558,Fair Value,Undervalued,Undervalued,Fair Value,Fair Value,Undervalued
NJR,NJR,4057968640.0,16.987654,2.0235293,2.43,14.234482,2.9,4.0700004,0.653,Fair Value,Overvalued,Overvalued,Fair Value,Fair Value,Overvalued
XEL,XEL,29178839040.0,16.364485,1.6548009,3.21,13.7154045,3.83,4.17,0.372,Fair Value,Fair Value,Overvalued,Fair Value,Fair Value,Fair Value
AWR,AWR,2478327808.0,19.8125,3.1719637,3.36,20.357798,3.27,2.5799999000000002,0.426,Fair Value,Overvalued,Overvalued,Fair Value,Overvalued,Overvalued
YORW,YORW,477758912.0,20.078314,2.159798,1.66,19.721893,1.69,2.53,0.612,Overvalued,Overvalued,Overvalued,Fair Value,Overvalued,Overvalued
OTTR,OTTR,3471660288.0,11.8714285,2.4020116,7.0,19.880383,4.18,2.25,0.557,Undervalued,Overvalued,Overvalued,Undervalued,Overvalued,Overvalued
PNM,PNM,3244508416.0,35.26471,1.3811774,1.02,12.800713,2.81,4.31,0.359,Overvalued,Undervalued,Overvalued,Overvalued,Fair Value,Fair Value
KEN,KEN,1126746240.0,,0.93619823,-4.42,-16.174242,-1.32,30.869999999999997,0.644,Overvalued,Undervalued,Overvalued,Fair Value,Undervalued,Undervalued
NEE,NEE,126761418752.0,17.13889,2.6671855,3.6,16.766304,3.68,3.34,0.515,Fair Value,Overvalued,Overvalued,Fair Value,Fair Value,Overvalued
AQN,AQN,3920396544.0,189.0,0.80494034,0.03,10.903847,0.52,7.6499999999999995,0.469,Overvalued,Undervalued,Overvalued,Overvalued,Undervalued,Undervalued
VIASP,VIASP,,17.11171,1.3888797,1.17,,,15.100000999999999,1.305,Fair Value,Undervalued,Fair Value,Fair Value,Fair Value,Fair Value
NFE,NFE,5661209600.0,10.418868,3.45125,2.65,7.2849607,3.79,1.45000005,1.506,Undervalued,Overvalued,Overvalued,Undervalued,Undervalued,Overvalued
CNP,CNP,17232900096.0,19.868612,1.7773424,1.37,15.643678,1.74,2.94,0.932,Fair Value,Fair Value,Overvalued,Fair Value,Fair Value,Fair Value
AY,AY,1992126848.0,46.35135,1.3994287,0.37,22.272728,0.77,10.38,0.955,Overvalued,Undervalued,Overvalued,Overvalued,Overvalued,Fair Value
NI,NI,11903873024.0,17.945946,1.5266122,1.48,14.27957,1.86,3.9899999999999998,0.491,Fair Value,Fair Value,Overvalued,Fair Value,Fair Value,Fair Value
RNW,RNW,1943443840.0,53.2,0.018587166,0.1,inf,,,0.904,Overvalued,Undervalued,Undervalued,Overvalued,Overvalued,Undervalued
NWE,NWE,2935086848.0,14.875776,1.0533261,3.22,12.98103,3.69,5.43,0.448,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Undervalued
AES,AES,11308955648.0,46.794117,6.4569807,0.34,7.649039,2.08,4.25,1.087,Overvalued,Overvalued,Overvalued,Overvalued,Undervalued,Overvalued
AMPS,AMPS,594735040.0,,1.3229018,-0.06,23.25,0.16,,0.88,Overvalued,Undervalued,Overvalued,Fair Value,Overvalued,Fair Value
MNTK,MNTK,518031296.0,32.772728,2.0471323,0.11,13.351851,0.27,,-0.488,Overvalued,Overvalued,Overvalued,Overvalued,Fair Value,Overvalued
EVRG,EVRG,11386212352.0,15.634069,1.1782327,3.17,12.267327,4.04,5.19,0.567,Fair Value,Undervalued,Undervalued,Fair Value,Fair Value,Undervalued
FLNC,FLNC,2867059456.0,,4.899267,-0.53,17.074467,0.94,,2.562,Overvalued,Overvalued,Overvalued,Fair Value,Fair Value,Overvalued
