Ticker,symbol,Market Cap,Trailing P/E,Forward P/E,P/B Ratio,Graham Metric,Dividend Yield %,Beta,Alpha %,CROCI %,Sortino Ratio,Volatility,6 Month Appreciation %,Financial Currency,Trailing P/E Graham Status,P/B Ratio Graham Status,Combined P/E x P/B Graham Status,Trailing P/E Sector Status,Forward P/E Sector Status,P/B Ratio Sector Status,sector
SPRO,SPRO,85838696.0,3.6976745,-1.7096775,0.7882995,2.9148749595127503,,0.621,8.15,25.402735420135837,0.013282813032741902,0.06378031533947787,31.404957293519665,USD,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Healthcare
CVS,CVS,72409743360.0,10.119299,7.3948717,0.9763033,9.8795050073867,4.61,0.552,-28.91,22.134160233321563,0.007333247263883159,0.01636681910918884,-16.575063907490335,USD,Undervalued,Undervalued,Undervalued,Undervalued,Overvalued,Undervalued,Healthcare
SNY,SNY,122799267840.0,24.705582,9.892276,0.822573,20.322144702486,4.19,0.445,-8.03,16.476904073473797,0.016449976926114784,0.014668410096820003,4.756778148993243,EUR,Overvalued,Undervalued,Undervalued,Undervalued,Overvalued,Undervalued,Healthcare
SMLR,SMLR,162584976.0,8.2769785,6.8278933,2.0438797,16.917148333486452,,0.92,-18.33,33.49676161292569,0.04565803337538833,0.04826374163809426,-37.70979673982783,USD,Undervalued,Overvalued,Undervalued,Undervalued,Overvalued,Fair Value,Healthcare
NSYS,NSYS,32969892.0,5.02521,,0.9169669,4.607951235549001,,0.624,16.59,22.643164327750114,0.0460801192821005,0.041730349669439164,30.000003109807615,USD,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Healthcare
XCUR,XCUR,4285237.0,0.2799435,-0.6435065,0.9528847,0.26675387801445,,,-51.78,46.40128669079212,-0.037883770931127124,0.06336321161049861,-0.8000016212463379,USD,Undervalued,Undervalued,Undervalued,Undervalued,Overvalued,Undervalued,Healthcare
AVRO,AVRO,62402380.0,5.148148,-8.176471,0.6550424,3.3722552214752,,1.238,75.67,-69.67774622911367,-0.007142648684279212,0.0615268312060776,9.448819415007154,USD,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Healthcare
PKX,PKX,22529175552.0,19.847595,8.997576,0.00010277341,0.00203980501844895,2.42,1.324,12.74,12.898613809508278,0.023607709142956016,0.02264532950451604,-18.598529038718066,KRW,Fair Value,Undervalued,Undervalued,Fair Value,Undervalued,Undervalued,Basic Materials
AMR,AMR,3726432512.0,6.840735,8.930486,2.3419821,16.0208789208435,0.69999998,1.403,47.37,55.10950945659522,0.16296759191673926,0.04058687977480277,5.234352230079051,USD,Undervalued,Overvalued,Undervalued,Undervalued,Undervalued,Overvalued,Basic Materials
TX,TX,8566880768.0,13.224242,6.216524,0.65751606,8.69515149632652,7.5600000000000005,1.633,-9.63,38.5834534099872,0.0386735629079338,0.025379368242476514,12.73572829184928,USD,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Basic Materials
WLKP,WLKP,785234368.0,14.474027,9.906667,1.5079151,21.8256038711077,8.459999999999999,1.059,-16.37,,0.019237425978079512,0.019628803074807823,1.827325431850231,USD,Undervalued,Fair Value,Undervalued,Undervalued,Undervalued,Fair Value,Basic Materials
FMC,FMC,7985855488.0,6.5620513,12.694445,1.8522378,12.15447946339914,3.63,0.884,-34.96,15.017343399306263,0.01683932222815256,0.02065312239159358,20.44427866852413,USD,Undervalued,Fair Value,Undervalued,Undervalued,Fair Value,Fair Value,Basic Materials
MOS,MOS,9837839360.0,12.97034,11.638783,0.81853676,10.6167000796984,2.74,1.512,-40.34,16.90452555694781,0.012109009160829786,0.027578879470814898,-14.995828833328654,USD,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Basic Materials
