Ticker,symbol,Market Cap,Trailing P/E,P/B Ratio,Trailing EPS,Forward P/E,Forward EPS,Dividend Yield %,Beta,Trailing P/E Graham Status,P/B Ratio Graham Status,Combined P/E x P/B Graham Status,Trailing P/E Sector Status,Forward P/E Sector Status,P/B Ratio Sector Status,sector
IBOC,IBOC,3264452096.0,7.932024,1.3316596,6.62,,,2.4600001,0.957,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Overvalued,Financial Services
HBNC,HBNC,502867648.0,17.8125,0.6922937,0.64,7.45098,1.53,5.6199998,1.009,Fair Value,Undervalued,Undervalued,Overvalued,Fair Value,Undervalued,Financial Services
COF,COF,51889274880.0,11.415063,0.9745521,11.95,8.317683,16.4,1.76,1.471,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Fair Value,Financial Services
BPRN,BPRN,188338608.0,7.374689,0.77937746,4.03,8.871642,3.35,4.04,0.591,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Financial Services
PFBC,PFBC,994631424.0,6.809793,1.4309175,10.62,8.236902,8.78,3.8699999999999997,1.024,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Overvalued,Financial Services
SWKH,SWKH,212950592.0,13.632001,0.7597307,1.25,13.312501,1.28,,0.332,Undervalued,Undervalued,Undervalued,Fair Value,Overvalued,Undervalued,Financial Services
PBHC,PBHC,74672784.0,8.106821,0.6229669,1.51,,,3.27,0.134,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Financial Services
GLRE,GLRE,435302528.0,4.9240003,0.729741,2.5,7.6937504,1.6,,0.804,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Financial Services
UNB,UNB,122068728.0,10.8911295,1.8547003,2.48,,,5.33,0.868,Undervalued,Fair Value,Undervalued,Fair Value,Fair Value,Overvalued,Financial Services
ENVA,ENVA,1611013120.0,10.675775,1.3747245,5.49,6.0798755,9.64,,1.535,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Overvalued,Financial Services
CNO,CNO,2782398464.0,10.670834,1.2640672,2.4,7.4017344,3.46,2.34,1.046,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Overvalued,Financial Services
CULL,CULL,75563176.0,19.259258,0.71748877,0.54,,,1.15,0.187,Fair Value,Undervalued,Undervalued,Overvalued,Fair Value,Undervalued,Financial Services
BUR,BUR,3270944256.0,5.459854,1.4299369,2.74,,,0.84,1.031,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Overvalued,Financial Services
CSWC,CSWC,1049598464.0,10.435898,1.4558245,2.34,9.320611,2.62,10.33,1.253,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Overvalued,Financial Services
COOP,COOP,4930697728.0,10.350684,1.1399088,7.3,6.875341,10.99,,1.417,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Fair Value,Financial Services
CFFI,CFFI,116790568.0,5.00289,0.53860635,6.92,,,5.06,0.343,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Financial Services
UNTY,UNTY,265161600.0,6.875,0.9940133,3.84,6.270784,4.21,1.97,1.058,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Financial Services
MBCN,MBCN,181474960.0,10.509345,0.88515425,2.14,13.075581,1.72,3.61,0.636,Undervalued,Undervalued,Undervalued,Fair Value,Overvalued,Fair Value,Financial Services
RDN,RDN,4466485248.0,7.8196287,1.02682,3.77,8.234637,3.58,3.32,1.006,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Financial Services
CCB,CCB,505921184.0,11.556575,1.704402,3.27,6.3942475,5.91,,1.17,Undervalued,Fair Value,Undervalued,Fair Value,Undervalued,Overvalued,Financial Services
SHG,SHG,15054196736.0,5.3405795,0.00030402906,5.52,4.134642,7.13,5.35,0.603,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Financial Services
AIG,AIG,49750298624.0,14.821284,1.1332196,4.98,9.260979,7.97,1.95,1.028,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Fair Value,Financial Services
ACNB,ACNB,273445728.0,8.665769,0.9862266,3.71,9.133523,3.52,3.73,0.598,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Financial Services
FITB,FITB,23302219776.0,10.586956,1.3613673,3.22,9.712251,3.51,4.05,1.271,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Overvalued,Financial Services
FDUS,FDUS,612808960.0,6.65529,1.0069194,2.93,8.863636,2.2,13.340001,1.425,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Financial Services
FMNB,FMNB,444543456.0,8.902255,1.0979228,1.33,8.902255,1.33,5.75,0.85,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Financial Services
BMA,BMA,3670711808.0,88.944435,0.01502376,0.54,5.260679,9.13,6.1899999999999995,1.723,Overvalued,Undervalued,Undervalued,Overvalued,Undervalued,Undervalued,Financial Services
DB,DB,30617808896.0,5.2101693,0.41910943,2.95,5.7137547,2.69,3.1600002000000003,1.208,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Financial Services
WHG,WHG,120926648.0,11.076923,0.8619887,1.17,,,4.63,1.249,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Fair Value,Financial Services
ESSA,ESSA,170715776.0,9.05914,0.7355509,1.86,8.259805,2.04,3.5099998,0.325,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Financial Services
SSB,SSB,5829526528.0,11.834365,1.0501662,6.46,10.573997,7.23,2.7199999999999998,0.724,Undervalued,Undervalued,Undervalued,Fair Value,Overvalued,Fair Value,Financial Services
RY,RY,136503361536.0,12.311623,1.2528267,7.83,10.795073,8.93,4.2299999999999995,0.83,Undervalued,Undervalued,Undervalued,Fair Value,Overvalued,Overvalued,Financial Services
EBMT,EBMT,99889080.0,9.6589155,0.5759719,1.29,7.0795455,1.76,4.4899996,0.529,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Financial Services
BKU,BKU,1830467456.0,10.285713,0.70624894,2.38,8.02623,3.05,4.7399998,1.336,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Undervalued,Financial Services
WRLD,WRLD,809893248.0,11.725352,1.8603612,11.36,10.08327,13.21,,1.427,Undervalued,Fair Value,Undervalued,Fair Value,Fair Value,Overvalued,Financial Services
BBVA,BBVA,61001957376.0,7.6642337,1.1466638,1.37,6.8627453,1.53,7.28,1.48,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Financial Services
OPOF,OPOF,73640096.0,9.487013,0.6896063,1.54,,,3.83,0.211,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Financial Services
TOWN,TOWN,1936945024.0,12.553399,0.9366511,2.06,10.302789,2.51,3.8699999999999997,0.896,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Fair Value,Financial Services
BMRC,BMRC,244459504.0,12.096774,0.5483659,1.24,9.433962,1.59,6.6599995,0.841,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Undervalued,Financial Services
FRAF,FRAF,116257824.0,8.53871,0.8756492,3.1,,,4.84,0.403,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Financial Services
WSBC,WSBC,1602647296.0,10.752988,0.67092574,2.51,10.340997,2.61,5.3400002,0.879,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Undervalued,Financial Services
SBCF,SBCF,1872653568.0,17.926828,0.87964255,1.23,12.894736,1.71,3.26,1.164,Fair Value,Undervalued,Undervalued,Overvalued,Overvalued,Fair Value,Financial Services
MAIN,MAIN,3974631424.0,8.942638,1.6014929,5.23,11.870559,3.94,6.16,1.279,Undervalued,Fair Value,Undervalued,Undervalued,Overvalued,Overvalued,Financial Services
NMFC,NMFC,1316920704.0,9.991936,0.962704,1.24,8.486301,1.46,11.62,1.16,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Financial Services
FCAP,FCAP,93873144.0,7.327225,0.8912026,3.82,,,3.8599998,0.63,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Financial Services
FMAO,FMAO,276434848.0,12.113772,0.8636073,1.67,11.494318,1.76,4.34,0.613,Undervalued,Undervalued,Undervalued,Fair Value,Overvalued,Fair Value,Financial Services
LCNB,LCNB,213632736.0,13.309091,0.8196171,1.1,9.445162,1.55,6.02,0.738,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Fair Value,Financial Services
CCBG,CCBG,435609664.0,8.374593,0.98903626,3.07,9.021052,2.85,3.26,0.531,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Financial Services
SHBI,SHBI,337750784.0,24.214287,0.6598326,0.42,6.1636367,1.65,4.7199998,0.913,Overvalued,Undervalued,Undervalued,Overvalued,Undervalued,Undervalued,Financial Services
BWFG,BWFG,183390704.0,4.965739,0.66565245,4.67,6.2675676,3.7,3.47,0.775,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Financial Services
LARK,LARK,107736192.0,8.834036,0.850233,2.23,,,4.2600001999999995,0.416,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Financial Services
BCSF,BCSF,1008463104.0,8.178011,0.8873487,1.91,7.9289336,1.97,10.76,1.175,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Financial Services
SNV,SNV,5363254784.0,10.586705,1.1726103,3.46,8.213005,4.46,4.1500002,1.418,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Overvalued,Financial Services
HFWA,HFWA,593297024.0,9.782858,0.7003764,1.75,8.963351,1.91,5.19,0.548,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Financial Services
ACGL,ACGL,34085675008.0,7.8192773,1.9282274,11.62,10.504046,8.65,,0.573,Undervalued,Fair Value,Undervalued,Undervalued,Overvalued,Overvalued,Financial Services
PKBK,PKBK,192528640.0,6.851064,0.6779519,2.35,,,4.4699997,0.78,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Financial Services
OXSQ,OXSQ,184984128.0,9.6875,1.2147335,0.32,8.611111,0.36,13.55,1.118,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Overvalued,Financial Services
FRBK,FRBK,2112330.0,0.13636364,0.009737098,0.22,0.06,0.5,,0.164,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Financial Services
KRNY,KRNY,354403488.0,18.965517,0.4033441,0.29,9.649123,0.57,8.01,0.702,Fair Value,Undervalued,Undervalued,Overvalued,Fair Value,Undervalued,Financial Services
JXN,JXN,4903769600.0,5.947955,0.5223893,10.76,3.5975266,17.79,4.38,1.579,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Financial Services
FCNCO,FCNCO,,0.38142967,0.015621915,57.468,,,6.419999999999999,0.88,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Financial Services
GBLI,GBLI,441314240.0,17.759562,0.6837787,1.83,9.615384,3.38,4.31,0.474,Fair Value,Undervalued,Undervalued,Overvalued,Fair Value,Undervalued,Financial Services
RAND,RAND,35695508.0,5.466403,0.58696204,2.53,,,7.23,0.35,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Financial Services
FXNC,FXNC,94474416.0,9.836601,0.81070894,1.53,6.90367,2.18,3.9899999999999998,0.507,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Financial Services
AVAL,AVAL,2873520128.0,13.333333,0.46511632,0.18,5.4545455,0.44,5.2699998,0.569,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Undervalued,Financial Services
BFH,BFH,1662228992.0,2.2754412,0.5666594,14.74,4.968889,6.75,2.5,1.98,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Financial Services
HDB,HDB,143150923776.0,17.77673,0.09810114,3.18,20.556364,2.75,1.23000005,0.768,Fair Value,Undervalued,Undervalued,Overvalued,Overvalued,Undervalued,Financial Services
