Ticker,symbol,Market Cap,Trailing P/E,P/B Ratio,Trailing EPS,Forward P/E,Forward EPS,Dividend Yield %,Beta,Trailing P/E Graham Status,P/B Ratio Graham Status,Combined P/E x P/B Graham Status,Trailing P/E Sector Status,Forward P/E Sector Status,P/B Ratio Sector Status,sector
PNFP,PNFP,6085268480.0,11.057423,1.0320531,7.14,9.844139,8.02,1.11,1.074,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Fair Value,Financial Services
WASH,WASH,413906752.0,8.617022,0.87554944,2.82,9.418605,2.58,9.21,0.813,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Financial Services
HIFS,HIFS,361986912.0,13.824313,0.87352484,12.01,,,1.53,1.005,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Fair Value,Financial Services
HOPE,HOPE,1244695168.0,9.297297,0.5844376,1.11,7.938462,1.3,5.43,1.122,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Financial Services
SIEB,SIEB,82328272.0,13.0,1.1665732,0.16,,,,0.356,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Fair Value,Financial Services
OBDC,OBDC,5997990912.0,7.581281,0.9961165,2.03,8.646068,1.78,10.850000399999999,0.954,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Financial Services
OFG,OFG,1578932992.0,8.744126,1.3206878,3.83,8.478481,3.95,2.9899999999999998,1.102,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Overvalued,Financial Services
QFIN,QFIN,2917515264.0,5.258823,0.12890945,3.4,3.612121,4.95,6.0399998,0.617,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Financial Services
PBFS,PBFS,230162416.0,13.029411,0.7871357,0.68,,,,0.454,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Fair Value,Financial Services
BVFL,BVFL,121160232.0,8.379779,0.60864615,1.271,,,,0.641,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Financial Services
BHRB,BHRB,390229088.0,17.364239,1.2376974,3.02,,,4.05,0.117,Fair Value,Undervalued,Undervalued,Overvalued,Fair Value,Overvalued,Financial Services
SMMF,SMMF,369882400.0,6.611549,0.8697003,3.81,6.2975,4.0,3.49,0.397,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Financial Services
SSBK,SSBK,209505616.0,6.6827197,0.9702628,3.53,6.3756757,3.7,1.54,0.147,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Financial Services
MFC,MFC,41217675264.0,11.989474,0.9184002,1.9,7.8013697,2.92,5.19,1.09,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Fair Value,Financial Services
CFBK,CFBK,118201832.0,7.087452,0.6340136,2.63,8.396396,2.22,1.2899999500000001,0.519,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Financial Services
USB,USB,63890710528.0,12.538226,1.3170998,3.27,9.36073,4.38,4.78,1.05,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Overvalued,Financial Services
WF,WF,7163855872.0,3.4170618,0.00077291345,8.44,3.200888,9.01,7.75,0.666,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Financial Services
CNOB,CNOB,686545792.0,8.652174,0.62206936,2.07,8.140909,2.2,3.7900000000000005,1.23,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Financial Services
RKT,RKT,22734710784.0,6.348501,2.486416,1.802,20.070175,0.57,,2.386,Undervalued,Overvalued,Undervalued,Undervalued,Overvalued,Overvalued,Financial Services
TRIN,TRIN,653369984.0,7.444444,1.0664747,1.89,6.7320576,2.09,14.510000000000002,0.703,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Financial Services
VRTS,VRTS,1564355840.0,12.392434,1.8005579,17.71,7.531572,29.14,3.46,1.47,Undervalued,Fair Value,Undervalued,Fair Value,Fair Value,Overvalued,Financial Services
UBCP,UBCP,72424608.0,8.089235,1.1389203,1.57,7.1751976,1.77,5.43,0.361,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Financial Services
BANX,BANX,130228952.0,6.447183,0.85433,2.84,8.066079,2.27,9.83,0.481,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Financial Services
LBAI,LBAI,735585280.0,8.751938,0.62785006,1.29,8.064286,1.4,5.13,0.836,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Financial Services
SIGIP,SIGIP,,3.2384343,0.40066046,5.62,,,6.2700000000000005,0.534,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Financial Services
GBCI,GBCI,3953630208.0,17.348259,1.2802438,2.01,14.651259,2.38,3.7900000000000005,0.78,Fair Value,Undervalued,Undervalued,Overvalued,Overvalued,Overvalued,Financial Services
SMBC,SMBC,456070752.0,10.611112,0.96708864,3.78,8.70065,4.61,2.08,0.933,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Fair Value,Financial Services
WAL,WAL,6090750464.0,8.4526,1.0358849,6.54,5.8621416,9.43,2.6800001,1.452,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Financial Services
NWBI,NWBI,1358837888.0,10.084906,0.87594223,1.06,10.4803915,1.02,7.48,0.594,Undervalued,Undervalued,Undervalued,Fair Value,Overvalued,Fair Value,Financial Services
INTR,INTR,2181785344.0,33.13333,0.26752073,0.15,8.719298,0.57,0.6,,Overvalued,Undervalued,Undervalued,Overvalued,Fair Value,Undervalued,Financial Services
CALB,CALB,181643360.0,8.433594,0.9233993,2.56,9.949308,2.17,,0.929,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Financial Services
AMRK,AMRK,857043776.0,8.333333,1.4711652,4.5,6.957329,5.39,2.1300000999999997,0.07,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Overvalued,Financial Services
CARE,CARE,256697520.0,11.15,0.72871053,1.0,9.780702,1.14,,0.95,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Undervalued,Financial Services
UBSI,UBSI,4384716800.0,11.98155,0.916093,2.71,11.893773,2.73,4.5600000000000005,1.013,Undervalued,Undervalued,Undervalued,Fair Value,Overvalued,Fair Value,Financial Services
HFBL,HFBL,37662604.0,8.094594,0.69244546,1.48,,,4.17,0.475,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Financial Services
TECTP,TECTP,42177780.0,4.8351135,0.6920622,2.153,,,8.67,,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Financial Services
SBFG,SBFG,89178944.0,7.5078855,0.7152313,1.75,8.587451,1.53,4.1100003,0.68,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Financial Services
ZION,ZION,5830160896.0,9.08046,1.1144655,4.35,8.56833,4.61,4.1500002,1.123,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Financial Services
TCPC,TCPC,862758336.0,15.044776,0.8468453,0.67,6.3797464,1.58,13.489999999999998,1.464,Fair Value,Undervalued,Undervalued,Fair Value,Undervalued,Fair Value,Financial Services
AX,AX,2785755392.0,7.264095,1.3404517,6.74,7.0344825,6.96,,1.429,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Overvalued,Financial Services
GBDC,GBDC,2842036480.0,9.104395,1.1024617,1.82,9.361582,1.77,9.41,0.594,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Financial Services
LX,LX,271420032.0,1.542056,0.027977956,1.07,1.2313433,1.34,11.03,0.569,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Financial Services
RRBI,RRBI,325330688.0,9.4382715,1.0705783,4.86,9.536383,4.81,0.7799999999999999,0.593,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Financial Services
WABC,WABC,1217036672.0,7.528053,1.5742434,6.06,9.665255,4.72,3.8599998,0.557,Undervalued,Fair Value,Undervalued,Undervalued,Fair Value,Overvalued,Financial Services
SFBC,SFBC,102981640.0,14.073427,1.0130883,2.86,,,1.8900000000000001,0.609,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Fair Value,Financial Services
MYFW,MYFW,130176320.0,25.055553,0.53404385,0.54,7.516667,1.8,,0.672,Overvalued,Undervalued,Undervalued,Overvalued,Fair Value,Undervalued,Financial Services
MUFG,MUFG,115034308608.0,8.81081,0.0061514964,1.11,11.241379,0.87,2.56,0.633,Undervalued,Undervalued,Undervalued,Undervalued,Overvalued,Undervalued,Financial Services
OCFC,OCFC,863807872.0,8.535294,0.51754886,1.7,6.9759617,2.08,5.52,0.989,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Financial Services
MTB,MTB,22892058624.0,9.283108,0.9104947,14.8,8.53354,16.1,3.7800000000000002,0.782,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Financial Services
AC,AC,692940800.0,18.744186,0.76559573,1.72,12.447878,2.59,0.62,0.897,Fair Value,Undervalued,Undervalued,Overvalued,Overvalued,Undervalued,Financial Services
RGA,RGA,11879032832.0,13.445272,1.3048285,13.43,8.371349,21.57,1.8800000000000001,0.886,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Overvalued,Financial Services
NRIM,NRIM,247976064.0,10.042316,1.0591469,4.49,8.588572,5.25,5.3400002,0.714,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Fair Value,Financial Services
NMR,NMR,17615730688.0,24.666668,0.0054414463,0.24,,,,0.698,Overvalued,Undervalued,Undervalued,Overvalued,Fair Value,Undervalued,Financial Services
SRCE,SRCE,1172641152.0,9.530814,1.1837329,5.03,10.653333,4.5,2.8399997999999997,0.788,Undervalued,Undervalued,Undervalued,Undervalued,Overvalued,Overvalued,Financial Services
CBFV,CBFV,109749488.0,4.85,0.78128433,4.4,9.35965,2.28,4.6899999999999995,0.563,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Financial Services
FFIC,FFIC,324395520.0,11.625,0.48093084,0.96,8.9279995,1.25,7.870000000000001,0.742,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Undervalued,Financial Services
HTBI,HTBI,416058496.0,8.030303,0.82329386,2.97,8.579137,2.78,1.8399999999999999,0.773,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Financial Services
VABK,VABK,135137072.0,7.0027933,0.87903225,3.58,,,5.2699998,0.58,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Financial Services
BSRR,BSRR,260293184.0,7.5296617,0.76502496,2.36,7.194332,2.47,5.17,0.909,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Financial Services
CBAN,CBAN,185945584.0,8.540322,0.72964036,1.24,6.7452226,1.57,4.2600001999999995,0.53,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Financial Services
NBTB,NBTB,1560358912.0,12.486792,1.0934144,2.65,10.027273,3.3,3.8699999999999997,0.506,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Fair Value,Financial Services
HBT,HBT,578437696.0,8.830918,1.1836312,2.07,8.423964,2.17,4.17,0.853,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Overvalued,Financial Services
BUSE,BUSE,1235545472.0,9.999999,0.94679695,2.18,9.396552,2.32,4.3999999999999995,0.831,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Financial Services
FINW,FINW,125625224.0,7.368421,0.7896221,1.33,8.305085,1.18,,0.762,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Financial Services
MBINN,MBINN,,4.3589168,0.6950043,4.43,,,7.7700000000000005,1.172,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Financial Services
EFSC,EFSC,1426676352.0,7.5009856,0.86547863,5.07,8.126068,4.68,2.6199998,0.995,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Financial Services
HBAN,HBAN,18983763968.0,10.516129,1.1136733,1.24,9.183099,1.42,4.760000000000001,1.115,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Fair Value,Financial Services
NWG,NWG,30109779968.0,5.5655737,1.7948718,1.22,9.30137,0.73,6.3100000000000005,1.352,Undervalued,Fair Value,Undervalued,Undervalued,Fair Value,Overvalued,Financial Services
MTG,MTG,5242204672.0,7.831325,1.0476549,2.49,7.5875487,2.57,2.3599999,1.224,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Financial Services
JHG,JHG,4969632768.0,13.00422,1.1089921,2.37,10.852113,2.84,5.06,1.531,Undervalued,Undervalued,Undervalued,Fair Value,Overvalued,Fair Value,Financial Services
NEWT,NEWT,268831744.0,5.7872343,1.1710256,1.88,5.2815537,2.06,6.99,1.29,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Overvalued,Financial Services
MNSB,MNSB,128449704.0,5.1907697,0.63390076,3.25,7.774194,2.17,2.3699999,0.446,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Financial Services
QCRH,QCRH,921973056.0,8.154532,1.0367824,6.73,8.58842,6.39,0.44,0.96,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Financial Services
YRD,YRD,426228512.0,1.5616883,0.052185047,3.08,11.452381,0.42,,0.706,Undervalued,Undervalued,Undervalued,Undervalued,Overvalued,Undervalued,Financial Services
NWFL,NWFL,191075360.0,11.381642,1.0492562,2.07,,,5.11,0.607,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Fair Value,Financial Services
OPY,OPY,390778080.0,14.428572,0.48710227,2.59,14.597656,2.56,1.6099999999999999,1.141,Undervalued,Undervalued,Undervalued,Fair Value,Overvalued,Undervalued,Financial Services
VIRT,VIRT,3254006784.0,14.492958,1.5244445,1.42,8.72034,2.36,4.67,0.399,Undervalued,Fair Value,Undervalued,Fair Value,Fair Value,Overvalued,Financial Services
SMBK,SMBK,327488640.0,11.360947,0.70927227,1.69,8.609866,2.23,1.67,0.676,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Undervalued,Financial Services
AGM-A,AGM-A,1871426560.0,9.076533,1.6777347,15.81,,,3.9,1.086,Undervalued,Fair Value,Undervalued,Undervalued,Fair Value,Overvalued,Financial Services
AFL,AFL,46280065024.0,10.338046,2.1163003,7.78,11.639653,6.91,2.4899999999999998,0.914,Undervalued,Overvalued,Undervalued,Fair Value,Overvalued,Overvalued,Financial Services
SUPV,SUPV,606757696.0,19.962961,0.006960605,0.27,8.044776,0.67,,1.858,Fair Value,Undervalued,Undervalued,Overvalued,Fair Value,Undervalued,Financial Services
RBCAA,RBCAA,912125568.0,10.175324,0.9969884,4.62,10.023454,4.69,3.25,0.576,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Fair Value,Financial Services
MBIN,MBIN,1634905728.0,6.68617,1.3572559,5.64,6.627416,5.69,0.95,1.172,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Overvalued,Financial Services
PFLT,PFLT,683453440.0,9.319327,0.9899134,1.19,8.801587,1.26,11.09,1.673,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Financial Services
CM,CM,44146208768.0,9.894737,0.85589933,4.75,9.270217,5.07,5.6399997,1.104,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Financial Services
PEBK,PEBK,149930880.0,9.920577,1.2567457,2.77,,,2.75,0.635,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Overvalued,Financial Services
FLIC,FLIC,225750144.0,8.663794,0.59725446,1.16,8.04,1.25,8.36,0.622,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Financial Services
GLAD,GLAD,445095008.0,7.104166,1.0650147,2.88,9.385321,2.18,9.67,1.244,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Financial Services
HAFC,HAFC,438402272.0,5.5267177,0.6224476,2.62,6.188034,2.34,6.909999999999999,0.932,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Financial Services
VBTX,VBTX,1049579520.0,9.727273,0.6834392,1.98,8.266095,2.33,4.16,1.329,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Financial Services
WSBF,WSBF,215898112.0,23.565218,0.6068409,0.46,10.732674,1.01,5.54,0.601,Overvalued,Undervalued,Undervalued,Overvalued,Overvalued,Undervalued,Financial Services
CIVB,CIVB,227464400.0,5.311355,0.6117885,2.73,7.0731707,2.05,4.4099998000000005,0.771,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Financial Services
AFBI,AFBI,105875032.0,16.836836,0.87126935,0.98,,,,0.454,Fair Value,Undervalued,Undervalued,Overvalued,Fair Value,Fair Value,Financial Services
SLF,SLF,29373595648.0,13.170157,1.3491553,3.82,9.421349,5.34,4.5600000000000005,0.957,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Overvalued,Financial Services
COLB,COLB,3631546112.0,9.747191,0.72451663,1.78,6.750973,2.57,8.3000004,0.888,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Financial Services
PFIS,PFIS,262797264.0,9.720627,0.77001035,3.83,7.104962,5.24,4.35,0.445,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Financial Services
ATLO,ATLO,170491536.0,15.799998,1.0283668,1.2,,,5.6700002,0.558,Fair Value,Undervalued,Undervalued,Overvalued,Fair Value,Fair Value,Financial Services
EBTC,EBTC,288055936.0,7.5434084,0.86555487,3.11,,,4.1100003,0.588,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Financial Services
CTBI,CTBI,711641408.0,9.05734,1.0122527,4.36,9.141204,4.32,4.66,0.7,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Financial Services
QD,QD,524014656.0,19.416666,0.040682346,0.12,-58.25,-0.04,,0.689,Fair Value,Undervalued,Undervalued,Overvalued,Undervalued,Undervalued,Financial Services
ITIC,ITIC,296952864.0,13.7548,1.1849563,11.46,,,1.17,0.796,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Overvalued,Financial Services
NMIH,NMIH,2388426752.0,7.71875,1.2446983,3.84,6.543046,4.53,,1.059,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Overvalued,Financial Services
NWLI,NWLI,1773686912.0,18.256363,0.7270026,26.72,,,0.06999999999999999,0.71,Fair Value,Undervalued,Undervalued,Overvalued,Fair Value,Undervalued,Financial Services
CINF,CINF,18343579648.0,10.040309,1.5192649,11.66,16.652916,7.03,2.77,0.624,Undervalued,Fair Value,Undervalued,Fair Value,Overvalued,Overvalued,Financial Services
SYBT,SYBT,1262768128.0,11.716621,1.4696835,3.67,12.011173,3.58,2.79,0.818,Undervalued,Undervalued,Undervalued,Fair Value,Overvalued,Overvalued,Financial Services
GECC,GECC,95847136.0,3.0450451,0.78066057,3.33,6.108434,1.66,13.73,1.534,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Financial Services
BAC,BAC,272823042048.0,11.95862,1.0289274,2.9,10.081395,3.44,2.77,1.388,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Fair Value,Financial Services
HOMB,HOMB,4505446400.0,11.5463915,1.1907293,1.94,11.428571,1.96,3.2099999999999995,1.098,Undervalued,Undervalued,Undervalued,Fair Value,Overvalued,Overvalued,Financial Services
STEL,STEL,1184263808.0,9.069387,0.7785018,2.45,10.631579,2.09,2.34,0.871,Undervalued,Undervalued,Undervalued,Undervalued,Overvalued,Undervalued,Financial Services
BRK-A,BRK-A,857528139776.0,9.009009,1.5366833,66395.76,20.824833,28723.4,,0.888,Undervalued,Fair Value,Undervalued,Undervalued,Overvalued,Overvalued,Financial Services
MCBS,MCBS,572416896.0,11.242574,1.5003964,2.02,8.602272,2.64,3.53,0.53,Undervalued,Fair Value,Undervalued,Fair Value,Fair Value,Overvalued,Financial Services
EZPW,EZPW,621034048.0,14.075,0.8027376,0.8,10.144144,1.11,,1.137,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Fair Value,Financial Services
FCF,FCF,1280553472.0,8.136364,0.9704902,1.54,8.582191,1.46,3.9899999999999998,0.854,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Financial Services
PVBC,PVBC,137211200.0,11.772727,0.58245873,0.66,17.65909,0.44,,0.501,Undervalued,Undervalued,Undervalued,Fair Value,Overvalued,Undervalued,Financial Services
UVSP,UVSP,544802688.0,7.6556015,0.64882547,2.41,9.413265,1.96,4.5600000000000005,0.893,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Financial Services
IBN,IBN,89741623296.0,17.950705,0.07326797,1.42,17.825176,1.43,0.76,0.814,Fair Value,Undervalued,Undervalued,Overvalued,Overvalued,Undervalued,Financial Services
PNC,PNC,58329804800.0,11.457388,1.2999893,12.79,10.392907,14.1,4.1500002,1.154,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Overvalued,Financial Services
CB,CB,99551821824.0,11.248166,1.6699926,21.8,10.324632,23.75,1.39999995,0.627,Undervalued,Fair Value,Undervalued,Fair Value,Fair Value,Overvalued,Financial Services
BY,BY,887576000.0,7.4906363,0.8839779,2.67,7.9681277,2.51,1.7999999999999998,1.136,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Financial Services
HUIZ,HUIZ,30188410.0,3.470588,0.072215416,0.17,3.933333,0.15,,0.505,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Financial Services
CWBC,CWBC,342494112.0,8.364055,1.0358998,2.17,6.2802763,2.89,2.6400002,0.84,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Financial Services
FBNC,FBNC,1285038592.0,12.347826,0.9358057,2.53,10.518518,2.97,2.8199999,0.999,Undervalued,Undervalued,Undervalued,Fair Value,Overvalued,Fair Value,Financial Services
GLBZ,GLBZ,14812721.0,10.26,0.7652148,0.5,,,7.8,0.634,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Undervalued,Financial Services
SPFI,SPFI,414273408.0,6.9640884,1.0166142,3.62,9.7713175,2.58,2.0599999,0.553,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Financial Services
AMAL,AMAL,657279296.0,7.534965,1.12047,2.86,6.630769,3.25,1.8599999999999999,0.931,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Financial Services
CVBF,CVBF,2200023040.0,9.905661,1.0561963,1.59,10.096154,1.56,5.08,0.451,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Financial Services
HRTG,HRTG,283453280.0,5.421965,1.2373039,1.73,5.299435,1.77,,0.917,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Overvalued,Financial Services
MBWM,MBWM,550411904.0,6.6549706,1.0543544,5.13,7.723982,4.42,3.9300002000000003,0.986,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Financial Services
CBNK,CBNK,268069264.0,7.5686274,1.0542991,2.55,6.6095886,2.92,1.66,0.423,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Financial Services
SMFG,SMFG,73507086336.0,13.621951,0.0010729805,0.82,12.274725,0.91,3.18,0.638,Undervalued,Undervalued,Undervalued,Fair Value,Overvalued,Undervalued,Financial Services
BSVN,BSVN,255066976.0,9.05246,1.4140122,3.05,6.9198,3.99,2.87,1.465,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Overvalued,Financial Services
CPSS,CPSS,182351040.0,4.7944446,0.66533035,1.8,10.397591,0.83,,2.091,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Financial Services
OSBC,OSBC,596305344.0,6.589109,1.0305846,2.02,7.3131866,1.82,1.5,1.093,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Financial Services
CBU,CBU,2199631104.0,17.016325,1.3093592,2.45,12.119185,3.44,4.32,0.653,Fair Value,Undervalued,Undervalued,Overvalued,Overvalued,Overvalued,Financial Services
CZWI,CZWI,112829952.0,8.632,0.6499217,1.25,7.6524825,1.41,2.97,1.028,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Financial Services
BPOP,BPOP,5876754432.0,10.80984,1.1445105,7.52,7.444139,10.92,3.05,0.833,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Fair Value,Financial Services
BCML,BCML,231559120.0,8.894274,0.74018407,2.27,8.483193,2.38,1.97,0.762,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Financial Services
WNEB,WNEB,142388736.0,9.3714285,0.5906185,0.7,9.3714285,0.7,4.279999999999999,0.599,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Financial Services
XYF,XYF,183933376.0,1.0581717,0.03171967,3.61,10.324324,0.37,4.4499997,0.272,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Financial Services
FSBW,FSBW,243853184.0,6.8508773,0.9093026,4.56,6.732759,4.64,3.34,0.926,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Financial Services
OVBC,OVBC,115000144.0,9.05283,0.7951608,2.65,,,3.6700000000000004,0.088,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Financial Services
MFIC,MFIC,963791296.0,8.115385,0.9587174,1.82,9.117284,1.62,10.290000000000001,1.515,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Financial Services
FUTU,FUTU,7648986624.0,14.046153,0.3057858,3.9,11.436325,4.79,,0.848,Undervalued,Undervalued,Undervalued,Fair Value,Overvalued,Undervalued,Financial Services
IGIC,IGIC,634441728.0,5.4,1.1104839,2.55,4.831579,2.85,0.29,0.181,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Financial Services
RNR,RNR,11334801408.0,4.1132364,1.3017027,52.28,6.1793103,34.8,0.73,0.293,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Overvalued,Financial Services
WSFS,WSFS,2516317952.0,9.518182,1.0232854,4.4,9.854118,4.25,1.43,1.013,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Financial Services
GSBD,GSBD,1677060864.0,8.265194,1.0232558,1.81,7.791667,1.92,12.0299995,1.171,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Financial Services
BRW,BRW,302172096.0,9.868055,0.8538637,0.72,,,14.360000000000001,0.611,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Financial Services
OVLY,OVLY,194359776.0,6.2,1.1478648,3.75,,,1.94,0.348,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Financial Services
GNTY,GNTY,319750208.0,10.828125,1.0474607,2.56,11.745763,2.36,3.46,,Undervalued,Undervalued,Undervalued,Fair Value,Overvalued,Fair Value,Financial Services
RBB,RBB,312287584.0,7.4866076,0.6104842,2.24,9.923077,1.69,3.81,0.965,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Financial Services
RVSB,RVSB,87610656.0,9.021739,0.5528174,0.46,11.857143,0.35,5.7800002,0.691,Undervalued,Undervalued,Undervalued,Undervalued,Overvalued,Undervalued,Financial Services
GABC,GABC,929255424.0,10.793814,1.400419,2.91,11.9429655,2.63,3.25,0.616,Undervalued,Undervalued,Undervalued,Fair Value,Overvalued,Overvalued,Financial Services
VEL,VEL,537761408.0,10.723684,1.235972,1.52,8.76344,1.86,,1.036,Undervalued,Undervalued,Undervalued,Fair Value,Fair Value,Overvalued,Financial Services
